Sp 02805,02692,REST,02692/Sp 06249,02433,At BPL,02270
02692/Sp06249,REST,Sp 06155,02434,Sp 02724/02433,SP 06250,06593
02441,At BPL,02270,REST,Sp 02724/02269,Sp 06012,02691
02691,06594,Sp 02722,02691,REST,02434/06151,02285
At BPL,06152,Sp 02805,02692,REST,02286/Sp02621,02691
Sp 02806,06594,02691,REST,02692/Sp02791,06151,At BPL
02438,06152/Sp02621,02691,Sp 02806,REST,Sp 02805,02692
Sp 02722,02691,REST,02441,At BPL,02286,02270/02433
REST,02691,Sp 02806,Sp 02805,02692,02692/Sp02791,02433
At BPL,02286,REST,02691,Sp 02806,REST,Sp 02724/02285
REST,02286/Sp02621,02437,Sp 02722,Sp 02722,02691,06593
Sp 02806,REST,02270/02437,02285,At BPL,02434,Sp 02722
02691,Sp 02805,02692,REST,Sp 02805,02692,02692/Sp02791
02269 ,At BPL,02442,REST,02691,Sp 02806,Sp 02805
02692,02692/Sp02791,REST,02434/02285,02269 ,At BPL,02442
02438/02269,REST,02692/Sp02791,Sp 02722,02691,02691,Sp 02806
