02691,06594,REST,02692/Sp 06249,02269,At BPL,02442
02692/Sp06249,REST,Sp 06155,02434,Sp02724/02269,SP 06250,06593
02269,At BPL,02442,02434/02285,REST,02692/Sp06249,Sp 02722
02691,02691,Sp 02806,REST,Sp 02805,02692,02285
At BPL,06152,02691,Sp 02805,REST,02285/Sp02621,06593
Sp 02806,Sp 02805,02692,REST,Sp 02724/02433,06151,At BPL
02438,02286/Sp02621,SP 02805,02692,REST,02434/06151,02433
At BPL,02286,02270/02437,REST,02691,Sp 02806,02692/Sp06249
REST,06152/Sp02621,REST,02441,At BPL,02286,Sp 02724/02285
REST,02692/Sp06249,02437,Sp 02722,Sp 02722,02691,02691
Sp 02806,REST,Sp 02722,02691,02433,At BPL,02270
02438/02269,REST,02692/Sp02277,Sp 02722,02691,02691,Sp 02806
Sp 02805,02692,REST,02691,Sp 02806,Sp 02805,02692
Sp 02722,02691,REST,02285,At BPL,02434,Sp 02805
02692,06594,02691,Sp 02805,02692,REST,02270/02433
02441,At BPL,02270,REST,02692/Sp02791,Sp 06012,02691
